Location;Time;Happiness
AFG;2008;3.7
AFG;2009;4.4
AFG;2010;4.8
AFG;2011;3.8
AFG;2012;3.8
AFG;2013;3.6
AFG;2014;3.1
AFG;2015;4
AFG;2016;4.2
AFG;2017;2.7
AGO;2011;5.6
AGO;2012;4.4
AGO;2013;3.9
AGO;2014;3.8
ALB;2007;4.6
ALB;2009;5.5
ALB;2010;5.3
ALB;2011;5.9
ALB;2012;5.5
ALB;2013;4.6
ALB;2014;4.8
ALB;2015;4.6
ALB;2016;4.5
ALB;2017;4.6
ARE;2009;6.9
ARE;2010;7.1
ARE;2011;7.1
ARE;2012;7.2
ARE;2013;6.6
ARE;2014;6.5
ARE;2015;6.6
ARE;2016;6.8
ARE;2017;7
ARG;2007;6.1
ARG;2008;6
ARG;2009;6.4
ARG;2010;6.4
ARG;2011;6.8
ARG;2012;6.5
ARG;2013;6.6
ARG;2014;6.7
ARG;2015;6.7
ARG;2016;6.4
ARG;2017;6
ARM;2007;4.9
ARM;2008;4.7
ARM;2009;4.2
ARM;2010;4.4
ARM;2011;4.3
ARM;2012;4.3
ARM;2013;4.3
ARM;2014;4.5
ARM;2015;4.3
ARM;2016;4.3
ARM;2017;4.3
AUS;2007;7.3
AUS;2008;7.3
AUS;2010;7.5
AUS;2011;7.4
AUS;2012;7.2
AUS;2013;7.4
AUS;2014;7.3
AUS;2015;7.3
AUS;2016;7.3
AUS;2017;7.3
AUT;2008;7.2
AUT;2010;7.3
AUT;2011;7.5
AUT;2012;7.4
AUT;2013;7.5
AUT;2014;6.9
AUT;2015;7.1
AUT;2016;7
AUT;2017;7.3
AZE;2007;4.6
AZE;2008;4.8
AZE;2009;4.6
AZE;2010;4.2
AZE;2011;4.7
AZE;2012;4.9
AZE;2013;5.5
AZE;2014;5.3
AZE;2015;5.1
AZE;2016;5.3
AZE;2017;5.2
BDI;2008;3.6
BDI;2009;3.8
BDI;2011;3.7
BDI;2014;2.9
BEL;2007;7.2
BEL;2008;7.1
BEL;2010;6.9
BEL;2011;7.1
BEL;2012;6.9
BEL;2013;7.1
BEL;2014;6.9
BEL;2015;6.9
BEL;2016;6.9
BEL;2017;6.9
BEN;2008;3.7
BEN;2011;3.9
BEN;2012;3.2
BEN;2013;3.5
BEN;2014;3.3
BEN;2015;3.6
BEN;2016;4
BEN;2017;4.9
BFA;2007;4
BFA;2008;3.8
BFA;2010;4
BFA;2011;4.8
BFA;2012;4
BFA;2013;3.3
BFA;2014;3.5
BFA;2015;4.4
BFA;2016;4.2
BFA;2017;4.6
BGD;2007;4.6
BGD;2008;5.1
BGD;2009;5.1
BGD;2010;4.9
BGD;2011;5
BGD;2012;4.7
BGD;2013;4.7
BGD;2014;4.6
BGD;2015;4.6
BGD;2016;4.6
BGD;2017;4.3
BGR;2007;3.8
BGR;2010;3.9
BGR;2011;3.9
BGR;2012;4.2
BGR;2013;4
BGR;2014;4.4
BGR;2015;4.9
BGR;2016;4.8
BGR;2017;5.1
BHR;2009;5.7
BHR;2010;5.9
BHR;2011;4.8
BHR;2012;5
BHR;2013;6.7
BHR;2014;6.2
BHR;2015;6
BHR;2016;6.2
BHR;2017;6.2
BIH;2007;4.9
BIH;2009;5
BIH;2010;4.7
BIH;2011;5
BIH;2012;4.8
BIH;2013;5.1
BIH;2014;5.2
BIH;2015;5.1
BIH;2016;5.2
BIH;2017;5.1
BLR;2007;5.6
BLR;2008;5.5
BLR;2009;5.6
BLR;2010;5.5
BLR;2011;5.2
BLR;2012;5.7
BLR;2013;5.9
BLR;2014;5.8
BLR;2015;5.7
BLR;2016;5.2
BLR;2017;5.6
BLZ;2007;6.5
BLZ;2014;6
BOL;2007;5.6
BOL;2008;5.3
BOL;2009;6.1
BOL;2010;5.8
BOL;2011;5.8
BOL;2012;6
BOL;2013;5.8
BOL;2014;5.9
BOL;2015;5.8
BOL;2016;5.8
BOL;2017;5.7
BRA;2007;6.3
BRA;2008;6.7
BRA;2009;7
BRA;2010;6.8
BRA;2011;7
BRA;2012;6.7
BRA;2013;7.1
BRA;2014;7
BRA;2015;6.5
BRA;2016;6.4
BRA;2017;6.3
BTN;2013;5.6
BTN;2014;4.9
BTN;2015;5.1
BWA;2008;5.5
BWA;2010;3.6
BWA;2011;3.5
BWA;2012;4.8
BWA;2013;4.1
BWA;2014;4
BWA;2015;3.8
BWA;2016;3.5
BWA;2017;3.5
CAF;2007;4.2
CAF;2010;3.6
CAF;2011;3.7
CAF;2016;2.7
CAF;2017;3.5
CAN;2007;7.5
CAN;2008;7.5
CAN;2009;7.5
CAN;2010;7.7
CAN;2011;7.4
CAN;2012;7.4
CAN;2013;7.6
CAN;2014;7.3
CAN;2015;7.4
CAN;2016;7.2
CAN;2017;7.4
CHE;2009;7.5
CHE;2012;7.8
CHE;2014;7.5
CHE;2015;7.6
CHE;2016;7.5
CHE;2017;7.5
CHL;2007;5.7
CHL;2008;5.8
CHL;2009;6.5
CHL;2010;6.6
CHL;2011;6.5
CHL;2012;6.6
CHL;2013;6.7
CHL;2014;6.8
CHL;2015;6.5
CHL;2016;6.6
CHL;2017;6.3
CHN;2007;4.9
CHN;2008;4.8
CHN;2009;4.5
CHN;2010;4.7
CHN;2011;5
CHN;2012;5.1
CHN;2013;5.2
CHN;2014;5.2
CHN;2015;5.3
CHN;2016;5.3
CHN;2017;5.1
CIV;2009;4.2
CIV;2013;3.7
CIV;2014;3.6
CIV;2015;4.4
CIV;2016;4.5
CIV;2017;5
CMR;2007;4.3
CMR;2008;4.3
CMR;2009;4.7
CMR;2010;4.6
CMR;2011;4.4
CMR;2012;4.2
CMR;2013;4.3
CMR;2014;4.2
CMR;2015;5
CMR;2016;4.8
CMR;2017;5.1
COD;2009;4
COD;2011;4.5
COD;2012;4.6
COD;2013;4.5
COD;2014;4.4
COD;2015;3.9
COD;2016;4.5
COD;2017;4.3
COG;2008;3.8
COG;2011;4.5
COG;2012;3.9
COG;2013;4
COG;2014;4.1
COG;2015;4.7
COG;2016;4.1
COG;2017;4.9
COL;2007;6.1
COL;2008;6.2
COL;2009;6.3
COL;2010;6.4
COL;2011;6.5
COL;2012;6.4
COL;2013;6.6
COL;2014;6.4
COL;2015;6.4
COL;2016;6.2
COL;2017;6.2
COM;2009;3.5
COM;2010;3.8
COM;2011;3.8
COM;2012;4
CRI;2007;7.4
CRI;2008;6.9
CRI;2009;7.6
CRI;2010;7.3
CRI;2011;7.2
CRI;2012;7.3
CRI;2013;7.2
CRI;2014;7.2
CRI;2015;6.9
CRI;2016;7.1
CRI;2017;7.2
CYP;2009;6.8
CYP;2010;6.4
CYP;2011;6.7
CYP;2012;6.2
CYP;2013;5.4
CYP;2014;5.6
CYP;2015;5.4
CYP;2016;5.8
CYP;2017;6.1
CZE;2007;6.5
CZE;2010;6.2
CZE;2011;6.3
CZE;2012;6.3
CZE;2013;6.7
CZE;2014;6.5
CZE;2015;6.6
CZE;2016;6.7
CZE;2017;6.8
DEU;2007;6.4
DEU;2008;6.5
DEU;2009;6.6
DEU;2010;6.7
DEU;2011;6.6
DEU;2012;6.7
DEU;2013;7
DEU;2014;7
DEU;2015;7
DEU;2016;6.9
DEU;2017;7.1
DJI;2008;5
DJI;2009;4.9
DJI;2010;5
DJI;2011;4.4
DNK;2007;7.8
DNK;2008;8
DNK;2009;7.7
DNK;2010;7.8
DNK;2011;7.8
DNK;2012;7.5
DNK;2013;7.6
DNK;2014;7.5
DNK;2015;7.5
DNK;2016;7.6
DNK;2017;7.6
DOM;2007;5.1
DOM;2008;4.8
DOM;2009;5.4
DOM;2010;4.7
DOM;2011;5.4
DOM;2012;4.8
DOM;2013;5
DOM;2014;5.4
DOM;2015;5.1
DOM;2016;5.2
DOM;2017;5.6
DZA;2010;5.5
DZA;2011;5.3
DZA;2012;5.6
DZA;2014;6.4
DZA;2016;5.3
DZA;2017;5.2
ECU;2007;5
ECU;2008;5.3
ECU;2009;6
ECU;2010;5.8
ECU;2011;5.8
ECU;2012;6
ECU;2013;6
ECU;2014;5.9
ECU;2015;6
ECU;2016;6.1
ECU;2017;5.8
EGY;2007;5.5
EGY;2008;4.6
EGY;2009;5.1
EGY;2010;4.7
EGY;2011;4.2
EGY;2012;4.2
EGY;2013;3.6
EGY;2014;4.9
EGY;2015;4.8
EGY;2016;4.6
EGY;2017;3.9
ESP;2007;7
ESP;2008;7.3
ESP;2009;6.2
ESP;2010;6.2
ESP;2011;6.5
ESP;2012;6.3
ESP;2013;6.2
ESP;2014;6.5
ESP;2015;6.4
ESP;2016;6.3
ESP;2017;6.2
EST;2007;5.3
EST;2008;5.5
EST;2009;5.1
EST;2011;5.5
EST;2012;5.4
EST;2013;5.4
EST;2014;5.6
EST;2015;5.6
EST;2016;5.6
EST;2017;5.9
ETH;2012;4.6
ETH;2013;4.4
ETH;2014;4.5
ETH;2015;4.6
ETH;2016;4.3
ETH;2017;4.2
FIN;2008;7.7
FIN;2010;7.4
FIN;2011;7.4
FIN;2012;7.4
FIN;2013;7.4
FIN;2014;7.4
FIN;2015;7.4
FIN;2016;7.7
FIN;2017;7.8
FRA;2008;7
FRA;2009;6.3
FRA;2010;6.8
FRA;2011;7
FRA;2012;6.6
FRA;2013;6.7
FRA;2014;6.5
FRA;2015;6.4
FRA;2016;6.5
FRA;2017;6.6
GAB;2011;4.3
GAB;2012;4
GAB;2013;3.8
GAB;2014;3.9
GAB;2015;4.7
GAB;2016;4.8
GAB;2017;4.8
GBR;2007;6.8
GBR;2008;7
GBR;2009;6.9
GBR;2010;7
GBR;2011;6.9
GBR;2012;6.9
GBR;2013;6.9
GBR;2014;6.8
GBR;2015;6.5
GBR;2016;6.8
GBR;2017;7.1
GEO;2007;3.7
GEO;2008;4.2
GEO;2009;3.8
GEO;2010;4.1
GEO;2011;4.2
GEO;2012;4.3
GEO;2013;4.3
GEO;2014;4.3
GEO;2015;4.1
GEO;2016;4.4
GEO;2017;4.5
GHA;2007;5.2
GHA;2008;5
GHA;2009;4.2
GHA;2010;4.6
GHA;2011;5.6
GHA;2012;5.1
GHA;2013;5
GHA;2014;3.9
GHA;2015;4
GHA;2016;4.5
GHA;2017;5.5
GIN;2011;4
GIN;2012;3.7
GIN;2013;3.9
GIN;2014;3.4
GIN;2015;3.5
GIN;2016;3.6
GIN;2017;4.9
GMB;2017;4.1
GRC;2007;6.6
GRC;2009;6
GRC;2010;5.8
GRC;2011;5.4
GRC;2012;5.1
GRC;2013;4.7
GRC;2014;4.8
GRC;2015;5.6
GRC;2016;5.3
GRC;2017;5.1
GTM;2007;6.3
GTM;2008;6.4
GTM;2009;6.5
GTM;2010;6.3
GTM;2011;5.7
GTM;2012;5.9
GTM;2013;6
GTM;2014;6.5
GTM;2015;6.5
GTM;2016;6.4
GTM;2017;6.3
GUY;2007;6
HKG;2008;5.1
HKG;2009;5.4
HKG;2010;5.6
HKG;2011;5.5
HKG;2012;5.5
HKG;2014;5.5
HKG;2016;5.5
HKG;2017;5.4
HND;2007;5.1
HND;2008;5.4
HND;2009;6
HND;2010;5.9
HND;2011;5
HND;2012;4.6
HND;2013;4.7
HND;2014;5.1
HND;2015;4.8
HND;2016;5.6
HND;2017;6
HRV;2007;5.8
HRV;2009;5.4
HRV;2010;5.6
HRV;2011;5.4
HRV;2012;6
HRV;2013;5.9
HRV;2014;5.4
HRV;2015;5.2
HRV;2016;5.4
HRV;2017;5.3
HTI;2008;3.8
HTI;2010;3.8
HTI;2011;4.8
HTI;2012;4.4
HTI;2013;4.6
HTI;2014;3.9
HTI;2015;3.6
HTI;2016;3.4
HTI;2017;3.8
HUN;2007;5
HUN;2009;4.9
HUN;2010;4.7
HUN;2011;4.9
HUN;2012;4.7
HUN;2013;4.9
HUN;2014;5.2
HUN;2015;5.3
HUN;2016;5.4
HUN;2017;6.1
IDN;2007;5.1
IDN;2008;4.8
IDN;2009;5.5
IDN;2010;5.5
IDN;2011;5.2
IDN;2012;5.4
IDN;2013;5.3
IDN;2014;5.6
IDN;2015;5
IDN;2016;5.1
IDN;2017;5.1
IND;2007;5
IND;2008;5.1
IND;2009;4.5
IND;2010;5
IND;2011;4.6
IND;2012;4.7
IND;2013;4.4
IND;2014;4.4
IND;2015;4.3
IND;2016;4.2
IND;2017;4
IRL;2008;7.6
IRL;2009;7
IRL;2010;7.3
IRL;2011;7
IRL;2012;7
IRL;2013;6.8
IRL;2014;7
IRL;2015;6.8
IRL;2016;7
IRL;2017;7.1
IRN;2007;5.3
IRN;2008;5.1
IRN;2011;4.8
IRN;2012;4.6
IRN;2013;5.1
IRN;2014;4.7
IRN;2015;4.7
IRN;2016;4.7
IRN;2017;4.7
IRQ;2008;4.6
IRQ;2009;4.8
IRQ;2010;5.1
IRQ;2011;4.7
IRQ;2012;4.7
IRQ;2013;4.7
IRQ;2014;4.5
IRQ;2015;4.5
IRQ;2016;4.4
IRQ;2017;4.5
ISL;2008;6.9
ISL;2012;7.6
ISL;2013;7.5
ISL;2015;7.5
ISL;2016;7.5
ISL;2017;7.5
ISR;2007;6.8
ISR;2008;7.3
ISR;2009;7.4
ISR;2010;7.4
ISR;2011;7.4
ISR;2012;7.1
ISR;2013;7.3
ISR;2014;7.4
ISR;2015;7.1
ISR;2016;7.2
ISR;2017;7.3
ITA;2007;6.6
ITA;2008;6.8
ITA;2009;6.3
ITA;2010;6.4
ITA;2011;6.1
ITA;2012;5.8
ITA;2013;6
ITA;2014;6
ITA;2015;5.8
ITA;2016;6
ITA;2017;6.2
JAM;2011;5.4
JAM;2013;5.7
JAM;2014;5.3
JAM;2017;5.9
JOR;2007;5.6
JOR;2008;4.9
JOR;2009;6
JOR;2010;5.6
JOR;2011;5.5
JOR;2012;5.1
JOR;2013;5.2
JOR;2014;5.3
JOR;2015;5.4
JOR;2016;5.3
JOR;2017;4.8
JPN;2007;6.2
JPN;2008;5.9
JPN;2009;5.8
JPN;2010;6.1
JPN;2011;6.3
JPN;2012;6
JPN;2013;6
JPN;2014;5.9
JPN;2015;5.9
JPN;2016;6
JPN;2017;5.9
KAZ;2007;5.7
KAZ;2008;5.9
KAZ;2009;5.4
KAZ;2010;5.5
KAZ;2011;5.7
KAZ;2012;5.8
KAZ;2013;5.8
KAZ;2014;6
KAZ;2015;5.9
KAZ;2016;5.5
KAZ;2017;5.9
KEN;2007;4.6
KEN;2008;4
KEN;2009;4.3
KEN;2010;4.3
KEN;2011;4.4
KEN;2012;4.5
KEN;2013;3.8
KEN;2014;4.9
KEN;2015;4.4
KEN;2016;4.4
KEN;2017;4.5
KGZ;2007;4.7
KGZ;2008;4.7
KGZ;2009;5.1
KGZ;2010;5
KGZ;2011;4.9
KGZ;2012;5.2
KGZ;2013;5.4
KGZ;2014;5.3
KGZ;2015;4.9
KGZ;2016;4.9
KGZ;2017;5.6
KHM;2007;4.2
KHM;2008;4.5
KHM;2009;4.1
KHM;2010;4.1
KHM;2011;4.2
KHM;2012;3.9
KHM;2013;3.7
KHM;2014;3.9
KHM;2015;4.2
KHM;2016;4.5
KHM;2017;4.6
KOR;2007;5.8
KOR;2008;5.4
KOR;2009;5.6
KOR;2010;6.1
KOR;2011;6.9
KOR;2012;6
KOR;2013;6
KOR;2014;5.8
KOR;2015;5.8
KOR;2016;6
KOR;2017;5.9
KWT;2009;6.6
KWT;2010;6.8
KWT;2011;6.4
KWT;2012;6.2
KWT;2013;6.5
KWT;2014;6.2
KWT;2015;6.1
KWT;2016;5.9
KWT;2017;6.1
LAO;2007;5.4
LAO;2008;5
LAO;2011;4.7
