LOCATION;TIME;Hours worked
AUS;2007;1722.6
AUS;2008;1720.9
AUS;2009;1692.3
AUS;2010;1699.9
AUS;2011;1699.9
AUS;2012;1692.5
AUS;2013;1689.4
AUS;2014;1683.3
AUS;2015;1683.5
AUS;2016;1673.4
AUS;2017;1674.9
AUT;2007;1612
AUT;2008;1605
AUT;2009;1564
AUT;2010;1557
AUT;2011;1562
AUT;2012;1540
AUT;2013;1525
AUT;2014;1516
AUT;2015;1500
AUT;2016;1512
AUT;2017;1511
BEL;2007;1577
BEL;2008;1570
BEL;2009;1548
BEL;2010;1546
BEL;2011;1560
BEL;2012;1560
BEL;2013;1558
BEL;2014;1545
BEL;2015;1545
BEL;2016;1545
BEL;2017;1545
CAN;2007;1744
CAN;2008;1741
CAN;2009;1712
CAN;2010;1715
CAN;2011;1713
CAN;2012;1722
CAN;2013;1716
CAN;2014;1710
CAN;2015;1712
CAN;2016;1706
CAN;2017;1695
CHE;2007;1668.9
CHE;2008;1659.5
CHE;2009;1650.8
CHE;2010;1624.3
CHE;2011;1619.3
CHE;2012;1603.2
CHE;2013;1582.9
CHE;2014;1575.3
CHE;2015;1589.5
CHE;2016;1589.7
CHE;2017;1570
CHL;2007;2128
CHL;2008;2095
CHL;2009;2074
CHL;2010;2070
CHL;2011;2047
CHL;2012;2024
CHL;2013;2015
CHL;2014;1990
CHL;2015;1988
CHL;2016;1974
CHL;2017;1954
CRI;2007;2387
CRI;2008;2392
CRI;2009;2348
CRI;2010;2243.1
CRI;2011;2285.3
CRI;2012;2233.4
CRI;2013;2140.6
CRI;2014;2121.7
CRI;2015;2148.2
CRI;2016;2204.7
CRI;2017;2178.9
CZE;2007;1784
CZE;2008;1790
CZE;2009;1779
CZE;2010;1800
CZE;2011;1806
CZE;2012;1776
CZE;2013;1763
CZE;2014;1777
CZE;2015;1756
CZE;2016;1779
CZE;2017;1784
DEU;2007;1424.4
DEU;2008;1418.4
DEU;2009;1372.7
DEU;2010;1389.9
DEU;2011;1392.8
DEU;2012;1375
DEU;2013;1362.7
DEU;2014;1366.9
DEU;2015;1369.8
DEU;2016;1362.8
DEU;2017;1360.4
DNK;2007;1433
DNK;2008;1430
DNK;2009;1417
DNK;2010;1422
DNK;2011;1437
DNK;2012;1423
DNK;2013;1426
DNK;2014;1414
DNK;2015;1407
DNK;2016;1412
DNK;2017;1405
ESP;2007;1703.5
ESP;2008;1712.6
ESP;2009;1719.7
ESP;2010;1710.4
ESP;2011;1715.5
ESP;2012;1701.2
ESP;2013;1693.5
ESP;2014;1694.6
ESP;2015;1699.6
ESP;2016;1701.5
ESP;2017;1690.2
EST;2007;1929
EST;2008;1900
EST;2009;1769
EST;2010;1810
EST;2011;1852
EST;2012;1820
EST;2013;1801
EST;2014;1795
EST;2015;1788
EST;2016;1791
EST;2017;1792
FIN;2007;1614
FIN;2008;1608
FIN;2009;1585
FIN;2010;1592
FIN;2011;1587
FIN;2012;1575
FIN;2013;1565
FIN;2014;1562
FIN;2015;1563
FIN;2016;1560
FIN;2017;1556
FRA;2007;1537
FRA;2008;1543
FRA;2009;1531
FRA;2010;1540
FRA;2011;1546
FRA;2012;1541
FRA;2013;1526
FRA;2014;1518
FRA;2015;1519
FRA;2016;1526
FRA;2017;1522
GBR;2007;1541
GBR;2008;1521
GBR;2009;1516
GBR;2010;1506
GBR;2011;1518
GBR;2012;1531
GBR;2013;1541
GBR;2014;1547
GBR;2015;1531
GBR;2016;1545
GBR;2017;1543
GRC;2007;2019
GRC;2008;2015
GRC;2009;1991
GRC;2010;1932
GRC;2011;1949
GRC;2012;1966
GRC;2013;1970
GRC;2014;1933
GRC;2015;1943
GRC;2016;1942
GRC;2017;1956
HUN;2007;1795
HUN;2008;1798
HUN;2009;1781
HUN;2010;1777
HUN;2011;1769.9
HUN;2012;1750
HUN;2013;1744.6
HUN;2014;1751.7
HUN;2015;1748.7
HUN;2016;1760
HUN;2017;1741.3
IRL;2007;1763
IRL;2008;1743
IRL;2009;1713
IRL;2010;1702
IRL;2011;1702
IRL;2012;1707
IRL;2013;1720
IRL;2014;1731
IRL;2015;1741
IRL;2016;1739
IRL;2017;1738
ISL;2007;1608
ISL;2008;1610
ISL;2009;1523
ISL;2010;1514
ISL;2011;1524
ISL;2012;1510
ISL;2013;1510
ISL;2014;1503
ISL;2015;1504
ISL;2016;1494
ISL;2017;1483
ISR;2007;1966.5
ISR;2008;1963.3
ISR;2009;1962.5
ISR;2010;1956.5
ISR;2011;1947.2
ISR;2012;1918.8
ISR;2013;1908.2
ISR;2014;1894.5
ISR;2015;1895.4
ISR;2016;1922.1
ISR;2017;1918
ITA;2007;1818.2
ITA;2008;1807
ITA;2009;1775.7
ITA;2010;1777.3
ITA;2011;1773.3
ITA;2012;1734.2
ITA;2013;1719.5
ITA;2014;1717.1
ITA;2015;1718
ITA;2016;1721.7
ITA;2017;1719
JPN;2007;1785
JPN;2008;1771
JPN;2009;1714
JPN;2010;1733
JPN;2011;1728
JPN;2012;1745
JPN;2013;1734
JPN;2014;1729
JPN;2015;1719
JPN;2016;1714
JPN;2017;1709
KOR;2008;2228
KOR;2009;2174
KOR;2010;2163
KOR;2011;2136
KOR;2012;2119
KOR;2013;2106
KOR;2014;2076
KOR;2015;2083
KOR;2016;2068
KOR;2017;2018
LTU;2007;1660
LTU;2008;1686
LTU;2009;1625
LTU;2010;1643
LTU;2011;1621
LTU;2012;1620
LTU;2013;1606
LTU;2014;1599
LTU;2015;1622
LTU;2016;1644
LTU;2017;1608
LUX;2007;1566
LUX;2008;1567
LUX;2009;1517
LUX;2010;1517
LUX;2011;1515
LUX;2012;1508
LUX;2013;1503
LUX;2014;1506
LUX;2015;1514
LUX;2016;1513
LUX;2017;1507
LVA;2007;1687
LVA;2008;1799
LVA;2009;1754
LVA;2010;1738
LVA;2011;1753
LVA;2012;1738
LVA;2013;1732
LVA;2014;1741
LVA;2015;1708
LVA;2016;1709
LVA;2017;1695
MEX;2007;2045
MEX;2008;2105
MEX;2009;1973
MEX;2010;2150
MEX;2011;2121
MEX;2012;2120
MEX;2013;2136
MEX;2014;2134
MEX;2015;2140
MEX;2016;2146
MEX;2017;2148
NLD;2007;1429
NLD;2008;1429
NLD;2009;1420
NLD;2010;1420
NLD;2011;1420
NLD;2012;1411
NLD;2013;1415
NLD;2014;1426
NLD;2015;1426
NLD;2016;1438
NLD;2017;1435
NOR;2007;1426
NOR;2008;1429.5
NOR;2009;1406.8
NOR;2010;1415.3
NOR;2011;1421.1
NOR;2012;1419.7
NOR;2013;1408.1
NOR;2014;1426.9
NOR;2015;1423.9
NOR;2016;1424.4
NOR;2017;1419.1
NZL;2007;1774
NZL;2008;1761
NZL;2009;1740
NZL;2010;1755
NZL;2011;1746
NZL;2012;1734
NZL;2013;1752
NZL;2014;1762
NZL;2015;1757
NZL;2016;1752
NZL;2017;1753
OEC;2007;1768
OEC;2008;1766
OEC;2009;1731
OEC;2010;1751
OEC;2011;1750
OEC;2012;1748
OEC;2013;1744
OEC;2014;1742
OEC;2015;1743
OEC;2016;1743
OEC;2017;1737
POL;2007;1859
POL;2008;1852
POL;2009;1838
POL;2010;1834
POL;2011;1829
POL;2012;1824
POL;2013;1821
POL;2014;1827
POL;2015;1834
POL;2016;1836
POL;2017;1815
PRT;2007;1745
PRT;2008;1733
PRT;2009;1733
PRT;2010;1735
PRT;2011;1714
PRT;2012;1698
PRT;2013;1707
PRT;2014;1714
PRT;2015;1722
PRT;2016;1725
PRT;2017;1727
RUS;2007;1999
RUS;2008;1997
RUS;2009;1974
RUS;2010;1976
RUS;2011;1979
RUS;2012;1982
RUS;2013;1980
RUS;2014;1985
RUS;2015;1978
RUS;2016;1974
RUS;2017;1980
SVK;2007;1791
SVK;2008;1793
SVK;2009;1780
SVK;2010;1805
SVK;2011;1793
SVK;2012;1789
SVK;2013;1772
SVK;2014;1760
SVK;2015;1754
SVK;2016;1740
SVK;2017;1714
SVN;2007;1654.9
SVN;2008;1673.7
SVN;2009;1678.8
SVN;2010;1680.1
SVN;2011;1663.2
SVN;2012;1644.6
SVN;2013;1662.4
SVN;2014;1681.9
SVN;2015;1687.8
SVN;2016;1652.9
SVN;2017;1621.7
SWE;2007;1472
SWE;2008;1477
SWE;2009;1470
SWE;2010;1494
SWE;2011;1491
SWE;2012;1478
SWE;2013;1470
SWE;2014;1470
SWE;2015;1471
SWE;2016;1482
SWE;2017;1470
TUR;2007;1911
TUR;2008;1900
TUR;2009;1881
TUR;2010;1877
TUR;2011;1864.2
TUR;2012;1855.1
TUR;2013;1832
TUR;2014;1832
TUR;2015;1832
USA;2007;1795
USA;2008;1787
USA;2009;1762
USA;2010;1773
USA;2011;1780
USA;2012;1783
USA;2013;1781
USA;2014;1784
USA;2015;1785
USA;2016;1781
USA;2017;1780
