LOCATION;TIME;Average Wages
AUS;2007;50565.4
AUS;2008;50973.2
AUS;2009;50511
AUS;2010;52253
AUS;2011;53905.8
AUS;2012;54226.2
AUS;2013;53977.4
AUS;2014;54391.8
AUS;2015;53946.3
AUS;2016;53971.6
AUS;2017;53507.3
AUT;2007;48644.6
AUT;2008;49509.4
AUT;2009;50312.2
AUT;2010;50096.7
AUT;2011;49578.9
AUT;2012;49835.1
AUT;2013;49896.5
AUT;2014;50082.8
AUT;2015;50373.8
AUT;2016;50906
AUT;2017;50851.4
BEL;2007;50575.4
BEL;2008;50725
BEL;2009;51159.3
BEL;2010;50872.5
BEL;2011;51204.9
BEL;2012;51550.6
BEL;2013;52221.6
BEL;2014;52514.3
BEL;2015;52120.1
BEL;2016;51951.7
BEL;2017;51736.1
CAN;2007;43968.6
CAN;2008;44810.3
CAN;2009;45309
CAN;2010;45502.6
CAN;2011;46203.4
CAN;2012;47275.5
CAN;2013;48191.6
CAN;2014;48717.5
CAN;2015;48979.3
CAN;2016;47793.4
CAN;2017;48247.1
CHE;2007;60304.4
CHE;2008;60629.7
CHE;2009;61856.1
CHE;2010;62002.9
CHE;2011;62107.9
CHE;2012;63207.3
CHE;2013;64180.9
CHE;2014;64284.5
CHE;2015;64222.8
CHE;2016;64063.9
CHE;2017;63899.9
CHL;2007;21967.2
CHL;2008;22409.1
CHL;2009;24037.7
CHL;2010;24960.8
CHL;2011;25106.4
CHL;2012;25914.9
CHL;2013;26583.8
CHL;2014;26803.5
CHL;2015;26759.2
CHL;2016;27655.3
CHL;2017;26766.6
CZE;2007;22412.3
CZE;2008;22423
CZE;2009;22371.7
CZE;2010;22944.5
CZE;2011;23102
CZE;2012;23089.7
CZE;2013;22846.1
CZE;2014;23324.3
CZE;2015;23962.8
CZE;2016;24778.2
CZE;2017;25804.1
DEU;2007;43802.1
DEU;2008;44079.1
DEU;2009;44253.6
DEU;2010;44451.2
DEU;2011;45209.4
DEU;2012;45725.2
DEU;2013;46277.2
DEU;2014;47010
DEU;2015;48034.6
DEU;2016;48709.6
DEU;2017;49161.1
DNK;2007;49771.8
DNK;2008;50445.5
DNK;2009;51668.6
DNK;2010;52263.9
DNK;2011;51993.3
DNK;2012;51923.1
DNK;2013;52260.7
DNK;2014;53260.7
DNK;2015;54196.9
DNK;2016;55032.3
DNK;2017;54722.5
ESP;2007;37589.7
ESP;2008;39102.3
ESP;2009;41750.9
ESP;2010;41034.3
ESP;2011;40452.8
ESP;2012;39301.6
ESP;2013;39391.3
ESP;2014;39397.8
ESP;2015;40087.6
ESP;2016;39860.3
ESP;2017;39073.3
EST;2007;21771.9
EST;2008;22052.8
EST;2009;21304.5
EST;2010;21192.4
EST;2011;20320.6
EST;2012;21161.9
EST;2013;21459.6
EST;2014;22570.8
EST;2015;23436.4
EST;2016;24691.3
EST;2017;25368.1
FIN;2007;42110.7
FIN;2008;42518.6
FIN;2009;42861.7
FIN;2010;43535.2
FIN;2011;43684.9
FIN;2012;43715.2
FIN;2013;43245.3
FIN;2014;43229.1
FIN;2015;43617.3
FIN;2016;43968.9
FIN;2017;43801.9
FRA;2007;40386.8
FRA;2008;40308.4
FRA;2009;41589.7
FRA;2010;42435.4
FRA;2011;42370.3
FRA;2012;42654.4
FRA;2013;43012.5
FRA;2014;43308.8
FRA;2015;43731.7
FRA;2016;44220.3
FRA;2017;44469
GBR;2007;45881.9
GBR;2008;44679.5
GBR;2009;45455.2
GBR;2010;45526.6
GBR;2011;44375.7
GBR;2012;44006.8
GBR;2013;44141.4
GBR;2014;43782.3
GBR;2015;44125.7
GBR;2016;44465.8
GBR;2017;44589.8
GRC;2007;32739.7
GRC;2008;32246.4
GRC;2009;33761.8
GRC;2010;31510.1
GRC;2011;29445.3
GRC;2012;28108
GRC;2013;26289.8
GRC;2014;26803.2
GRC;2015;26585.1
GRC;2016;26506.1
GRC;2017;26486.3
HUN;2007;21951.7
HUN;2008;22199.5
HUN;2009;21364.5
HUN;2010;21617.8
HUN;2011;21604.2
HUN;2012;20852.3
HUN;2013;20893.4
HUN;2014;20707.5
HUN;2015;20150.1
HUN;2016;21077.6
HUN;2017;22492.7
IRL;2007;43479.1
IRL;2008;44888.4
IRL;2009;48160
IRL;2010;48697.7
IRL;2011;48764.7
IRL;2012;48153.4
IRL;2013;46724.8
IRL;2014;46314.7
IRL;2015;47244.9
IRL;2016;47709
IRL;2017;47302.8
ISL;2007;59636.2
ISL;2008;52850.9
ISL;2009;44701.1
ISL;2010;45951.9
ISL;2011;48156.2
ISL;2012;48049.7
ISL;2013;48858.2
ISL;2014;49471.5
ISL;2015;53261.7
ISL;2016;58131.1
ISL;2017;64415.1
ISR;2007;37025.4
ISR;2008;36073.7
ISR;2009;35294.3
ISR;2010;34997.4
ISR;2011;35274.9
ISR;2012;33166.7
ISR;2013;33428.2
ISR;2014;33516
ISR;2015;34481.7
ISR;2016;35701.4
ISR;2017;36678.7
ITA;2007;38448.9
ITA;2008;38488.6
ITA;2009;38680.9
ITA;2010;39051.1
ITA;2011;38438.7
ITA;2012;37279.1
ITA;2013;37338.3
ITA;2014;37481.9
ITA;2015;37793.1
ITA;2016;38059.9
ITA;2017;37696.6
JPN;2007;39872.6
JPN;2008;39848
JPN;2009;39470.3
JPN;2010;40175.2
JPN;2011;41082.1
JPN;2012;40380.4
JPN;2013;40352.8
JPN;2014;39633.3
JPN;2015;39591.6
JPN;2016;40304.6
JPN;2017;40510
KOR;2007;34583.1
KOR;2008;34272.2
KOR;2009;34361.8
KOR;2010;34955.6
KOR;2011;35294.6
KOR;2012;34864.2
KOR;2013;35528.8
KOR;2014;35321.1
KOR;2015;35949.1
KOR;2016;37165.1
KOR;2017;37849.4
LTU;2007;21165.7
LTU;2008;21493.5
LTU;2009;18767.9
LTU;2010;18835.7
LTU;2011;19367.2
LTU;2012;19671.1
LTU;2013;20471.7
LTU;2014;21367.7
LTU;2015;22741.7
LTU;2016;23933.5
LTU;2017;25207.1
LUX;2007;60156.9
LUX;2008;59918.9
LUX;2009;61588.3
LUX;2010;62131.6
LUX;2011;61213.3
LUX;2012;60707.1
LUX;2013;61305.5
LUX;2014;63606.7
LUX;2015;64551.5
LUX;2016;64453.1
LUX;2017;65891
LVA;2007;20280.4
LVA;2008;20949.7
LVA;2009;18917.1
LVA;2010;18174.9
LVA;2011;17541.4
LVA;2012;18272.9
LVA;2013;19152
LVA;2014;20429.5
LVA;2015;22295.3
LVA;2016;23591.7
LVA;2017;24634
MEX;2007;17283.7
MEX;2008;17150.2
MEX;2009;17269
MEX;2010;16183.1
MEX;2011;16328.2
MEX;2012;16050.3
MEX;2013;16050.3
MEX;2014;16028.6
MEX;2015;16231.2
MEX;2016;16135.6
MEX;2017;16110.2
NLD;2007;51917.5
NLD;2008;52231.3
NLD;2009;54464
NLD;2010;54477.2
NLD;2011;54140.3
NLD;2012;54362.2
NLD;2013;54555
NLD;2014;54260.7
NLD;2015;54892.6
NLD;2016;55131.6
NLD;2017;54633.8
NOR;2007;44498.6
NOR;2008;45529
NOR;2009;46005.9
NOR;2010;46594.2
NOR;2011;48180
NOR;2012;49465.1
NOR;2013;50448.6
NOR;2014;50749
NOR;2015;50994.1
NOR;2016;50207.1
NOR;2017;50412.1
NZL;2007;38387.9
NZL;2008;37964.8
NZL;2009;38433.3
NZL;2010;38802.8
NZL;2011;38803.6
NZL;2012;39621.7
NZL;2013;39110.6
NZL;2014;39419.1
NZL;2015;40255.7
NZL;2016;41765
NZL;2017;41953.6
OEC;2007;44014.9
OEC;2008;43934.2
OEC;2009;44258.6
OEC;2010;44418.8
OEC;2011;44590.6
OEC;2012;44581.8
OEC;2013;44696.3
OEC;2014;44996.7
OEC;2015;45708.8
OEC;2016;46016.7
OEC;2017;46293.9
POL;2007;21878.2
POL;2008;23045
POL;2009;22999
POL;2010;23652.3
POL;2011;23654.2
POL;2012;23445.5
POL;2013;23713
POL;2014;24195.8
POL;2015;24726.1
POL;2016;25956.4
POL;2017;27058
PRT;2007;26068.6
PRT;2008;25983.9
PRT;2009;27184.2
PRT;2010;27080.3
PRT;2011;26436.5
PRT;2012;25294.2
PRT;2013;25813.9
PRT;2014;25360.1
PRT;2015;25307.3
PRT;2016;25349.8
PRT;2017;25288.7
SVK;2007;20514.4
SVK;2008;20718.3
SVK;2009;21416.5
SVK;2010;22359.8
SVK;2011;22161.1
SVK;2012;21916.8
SVK;2013;22082.5
SVK;2014;22510.9
SVK;2015;23344
SVK;2016;24053.1
SVK;2017;24719.5
SVN;2007;33606.5
SVN;2008;34097.2
SVN;2009;34435.8
SVN;2010;35473.8
SVN;2011;35340.8
SVN;2012;34227.7
SVN;2013;33748.9
SVN;2014;34282.5
SVN;2015;34933.6
SVN;2016;36153.4
SVN;2017;36883
SWE;2007;39137.1
SWE;2008;39678.8
SWE;2009;39938.3
SWE;2010;40175.4
SWE;2011;40680.6
SWE;2012;41581
SWE;2013;42015.8
SWE;2014;42444.1
SWE;2015;43159.4
SWE;2016;43735.7
SWE;2017;43987.5
USA;2007;58597.3
USA;2008;58400.9
USA;2009;58872.6
USA;2010;59476.6
USA;2011;59562.5
USA;2012;60047.2
USA;2013;59765.8
USA;2014;60618
USA;2015;62106.3
USA;2016;62153.1
USA;2017;62727.4
